Dataset,Rule_I,Rule_J,Effect_I,Effect_J,Similarity,Entity_Overlap,SMT_Result,Witness_Subject,Witness_Action,Witness_Resource,Witness_Env,Solve_Time_ms
Continue-A,RPSlist.0.0.0.r.1,RPSlist.0.0.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.08
Continue-A,RPSlist.0.0.0.r.1,RPSlist.3.0.3.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.01
Continue-A,RPSlist.0.0.0.r.1,RPSlist.4.0.2.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.0.r.1,RPSlist.4.0.3.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.0.r.1,RPSlist.5.0.0.2.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.0.r.1,RPSlist.5.0.0.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.0.r.1,RPSlist.21.0.0.2.5.3.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.0.r.1,RPSlist.22.0.0.2.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.0.r.1,RPSlist.23.0.0.1.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.0.r.1,RPSlist.23.0.0.1.4.r.5,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.0.0.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.3.0.3.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.4.0.2.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.4.0.3.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.5.0.0.2.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.5.0.0.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.21.0.0.2.5.3.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.22.0.0.2.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.23.0.0.1.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.1.r.1,RPSlist.23.0.0.1.4.r.5,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.0.0.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.3.0.3.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.4.0.2.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.4.0.3.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.5.0.0.2.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.5.0.0.4.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.21.0.0.2.5.3.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.22.0.0.2.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.23.0.0.1.3.r.1,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.2.r.1,RPSlist.23.0.0.1.4.r.5,Permit,Deny,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.1.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.01
Continue-A,RPSlist.0.0.3.r.1,RPSlist.1.0.1.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
